datum,profitloss
2021-11-05,4566.60393076878
2021-11-08,4802.357065886616
2021-11-09,4942.798187556247
2021-11-10,4605.635730645869
2021-11-11,4489.416055580358
2021-11-12,4646.328382786246
2021-11-15,4680.9920162639955
2021-11-16,4789.145343096249
2021-11-17,4907.268516586622
2021-11-18,5022.210128552559
2021-11-19,5017.700153406416
2021-11-22,5100.858094179062
2021-11-23,4642.991044222118
2021-11-24,4697.340656437222
2021-11-26,4704.639733734983
2021-11-29,4888.94284866433
2021-11-30,4862.449939698643
2021-12-01,4718.571558038827
2021-12-02,4310.124354595131
2021-12-03,4203.0758476885
2021-12-06,3820.6611760395804
2021-12-07,4300.513388932754
2021-12-08,4471.6275365162855
2021-12-09,4344.916832277152
2021-12-10,4117.557742566323
2021-12-13,4036.9588782965434
2021-12-14,3827.5902873963773
2021-12-15,3994.015228919459
2021-12-16,4234.903921646582
2021-12-17,3946.4626520394263
2021-12-20,3647.277285832722
2021-12-21,3897.834249188589
2021-12-22,4114.9533259405825
2021-12-23,4408.735186036813
2021-12-29,4671.4161486813155
2021-12-30,4636.713430066214
2022-01-04,4601.952833793199
2022-01-05,4299.441860313141
2022-01-06,3903.8670692984574
2022-01-07,3941.5883510050085
2022-01-10,3606.56032504511
2022-01-11,3914.306169108126
2022-01-12,4182.243958814392
2022-01-13,4187.970728325886
2022-01-14,3886.3575198471085
2022-01-18,3761.433637176778
2022-01-19,3583.2730819846133
2022-01-20,3357.5571352105567
2022-01-21,2983.0199075886453
2022-01-24,2364.0281884955025
2022-01-25,2299.919467189053
2022-01-26,2444.026225680597
2022-01-27,2071.2928842512633
2022-01-28,1736.8284681129278
2022-01-31,2387.1422527282098
2022-02-01,2771.486501583948
2022-02-02,3271.6614570169763
2022-02-03,2931.959627939688
2022-02-04,2772.371028035322
2022-02-07,2944.3090966404584
2022-02-08,2884.551441219324
2022-02-09,3280.2118810503393
2022-02-10,3253.728297994697
2022-02-11,2778.6070864500584
2022-02-14,2350.0478355148093
2022-02-15,2569.3243267833636
2022-02-16,2638.8261243662087
2022-02-17,2544.6026074084607
2022-02-18,2281.6238504780126
2022-02-22,2117.8575158963963
2022-02-23,2096.9802003830514
2022-02-24,1483.541572926031
2022-02-25,2229.78218230802
2022-02-28,2454.3737544112896
2022-03-01,2373.3637130558095
2022-03-02,2205.2022279129583
2022-03-03,2211.2877912032686
2022-03-04,1787.1523938316475
2022-03-07,1458.5765102552589
2022-03-08,1164.1989287570593
2022-03-09,1519.7697183190005
2022-03-10,1474.8929395783541
2022-03-11,1469.5610853730275
2022-03-14,1194.4920509656697
2022-03-15,1145.3682525170536
2022-03-16,1839.7996690470516
2022-03-17,1998.0270280450873
2022-03-18,2193.105019625946
2022-03-21,2416.357320360467
2022-03-22,2555.6092929935608
2022-03-23,2568.702174683303
2022-03-24,2604.9492388122267
2022-03-25,2785.006786763684
2022-03-28,2813.2265953393576
2022-03-29,3124.798597894704
2022-03-30,3177.5030387932416
2022-03-31,2808.0146990568687
2022-04-01,2553.5603689602326
2022-04-04,2641.3402685246488
2022-04-05,2659.756156085961
2022-04-06,2169.6715282897
2022-04-07,2007.3127607285628
2022-04-08,1980.86765722476
2022-04-11,1709.0184185742357
2022-04-12,1579.1018164799277
2022-04-13,1548.431618647379
2022-04-14,1611.623436037289
2022-04-19,1440.6210825454598
2022-04-20,1616.9234131847732
2022-04-21,1550.141639146388
